+ Add Milestone,+ បន្ថែមព្រឹត្តិការណ៍សំខាន់
Department,នាយកដ្ឋាន
Dependencies,ភាពអាស្រ័យ
dependencies,ភាពអាស្រ័យ
Dependencies are informational only,ភាពអាស្រ័យគឺសម្រាប់ព័ត៌មានតែប៉ុណ្ណោះ
dependency,ភាពអាស្រ័យ
Dependency already exists,ភាពអាស្រ័យមានរួចហើយ
Dependency Chain,ខ្សែសង្វាក់ភាពអាស្រ័យ
Dependency created,ភាពអាស្រ័យត្រូវបានបង្កើត
Dependency mode updated,របៀបភាពអាស្រ័យត្រូវបានធ្វើបច្ចុប្បន្នភាព
Dependency name is required,ឈ្មោះភាពអាស្រ័យគឺចាំបាច់
Dependency task {0} not found,រកមិនឃើញភារកិច្ចភាពអាស្រ័យ {0}
Dependency {0} not found,រកមិនឃើញភាពអាស្រ័យ {0}
depends,អាស្រ័យលើ
Depends on Group,អាស្រ័យលើក្រុម
Depends on task is required,ភារកិច្ចអាស្រ័យលើគឺចាំបាច់
depends on...,អាស្រ័យលើ...
Descending -- click to reverse,ចុះ -- ចុចដើម្បីបញ្ច្រាស
Describe the defect in detail...,ពិពណ៌នាកំហុសដោយលម្អិត...
Description,ការពិពណ៌នា
Description updated,ការពិពណ៌នាត្រូវបានធ្វើបច្ចុប្បន្នភាព
Designation,មុខតំណែង
"Detailed description of the defect, location, and impact",ការពិពណ៌នាលម្អិតអំពីកំហុស ទីតាំង និងផលប៉ះពាល់
Details,ព័ត៌មានលម្អិត
Discard timer,បោះបង់កម្មវិធីកំណត់ពេល
Discussion,ការពិភាក្សា
Dismiss,Dismiss
Display,ការបង្ហាញ
Document,ឯកសារ
Document attached to project,ឯកសារភ្ជាប់ទៅគម្រោង
Document final decision and rationale,កត់ត្រាសេចក្ដីសម្រេចចុងក្រោយ និងហេតុផល
Documentation Review,ការពិនិត្យឯកសារ
Documents,ឯកសារនានា
Done,រួចរាល់
Download,ទាញយក
Drag to create dependency,អូសដើម្បីបង្កើតភាពអាស្រ័យ
Dry Run,ការសាកល្បង
Dry Run Complete,ការសាកល្បងបានបញ្ចប់
Due Date,កាលបរិច្ឆេទផុតកំណត់
Due date,កាលបរិច្ឆេទផុតកំណត់
Due Date (Earliest),កាលបរិច្ឆេទផុតកំណត់ (មុនគេ)
Due date cannot be before start date,កាលបរិច្ឆេទផុតកំណត់មិនអាចមុនកាលបរិច្ឆេទចាប់ផ្ដើមបានទេ
Due date is in the past,កាលបរិច្ឆេទផុតកំណត់គឺនៅពេលកន្លងមក
Due Date Reminders,ការរំលឹកកាលបរិច្ឆេទផុតកំណត់
Due Diligence,ការពិនិត្យឱ្យបានហ្មត់ចត់
Due Diligence Checklist,បញ្ជីត្រួតពិនិត្យការពិនិត្យឱ្យបានហ្មត់ចត់
Due This Week,ផុតកំណត់សប្ដាហ៍នេះ
Due:,ផុតកំណត់:
Duplicate events are not allowed,ព្រឹត្តិការណ៍ស្ទួនមិនត្រូវបានអនុញ្ញាតទេ
Duplicate failed,ការចម្លងបានបរាជ័យ
Duplicate Task,ចម្លងភារកិច្ច
Duration,រយៈពេល
Duration Summary,សង្ខេបរយៈពេល
Duration:,រយៈពេល:
e.g. Cracked wall finish in bathroom...,ឧ. ជញ្ជាំងបាក់ក្នុងបន្ទប់ទឹក...
"e.g. Electrical, Plumbing...",ឧ. អគ្គិសនី បង្ហូរទឹក...
Edit,កែប្រែ
Edit (E),កែប្រែ (E)
Edit dependency,កែប្រែភាពអាស្រ័យ
Edit Event,កែប្រែព្រឹត្តិការណ៍
Efficiency,ប្រសិទ្ធភាព
Either dependency_name or depends_on is required,ត្រូវការ dependency_name ឬ depends_on
Email,អ៊ីមែល
Email invitations to all attendees,ផ្ញើអ៊ីមែលអញ្ជើញដល់អ្នកចូលរួមទាំងអស់
Email is required to create portal user,អ៊ីមែលគឺចាំបាច់ដើម្បីបង្កើតអ្នកប្រើប្រាស់វិបផតថល
Email notifications,ការជូនដំណឹងតាមអ៊ីមែល
Employee,បុគ្គលិក
Employee DocType not available,DocType បុគ្គលិកមិនមានទេ
Employee not found,រកមិនឃើញបុគ្គលិក
Enable or disable optional features,បើក ឬបិទមុខងារជម្រើស
Enable Time Tracking,បើកការតាមដានពេលវេលា
End,បញ្ចប់
End Date,កាលបរិច្ឆេទបញ្ចប់
End date,កាលបរិច្ឆេទបញ្ចប់
End Date cannot be before Start Date,កាលបរិច្ឆេទបញ្ចប់មិនអាចមុនកាលបរិច្ឆេទចាប់ផ្ដើមបានទេ
End date cannot be before start date,កាលបរិច្ឆេទបញ្ចប់មិនអាចមុនកាលបរិច្ឆេទចាប់ផ្ដើមបានទេ
End date updated,កាលបរិច្ឆេទបញ្ចប់ត្រូវបានធ្វើបច្ចុប្បន្នភាព
End time was before start time. Adjusted to 1 hour after start.,ពេលវេលាបញ្ចប់មុនពេលវេលាចាប់ផ្ដើម។ បានកែតម្រូវទៅ ១ ម៉ោងបន្ទាប់ពីចាប់ផ្ដើម។
End:,បញ្ចប់:
Enter milestone name...,បញ្ចូលឈ្មោះព្រឹត្តិការណ៍សំខាន់...
Enter project name,បញ្ចូលឈ្មោះគម្រោង
Enter task title...,បញ្ចូលចំណងជើងភារកិច្ច...
Enter template name,បញ្ចូលឈ្មោះគំរូ
Enter your note... Use @name to mention someone,បញ្ចូលកំណត់ចំណាំរបស់អ្នក... ប្រើ @name ដើម្បីលើកឡើងនរណាម្នាក់
Error,កំហុស
Error loading activity,កំហុសក្នុងការផ្ទុកសកម្មភាព
Error loading contacts,កំហុសក្នុងការផ្ទុកទំនាក់ទំនង
Error loading dashboard,កំហុសក្នុងការផ្ទុកផ្ទាំងគ្រប់គ្រង
Error loading project,កំហុសក្នុងការផ្ទុកគម្រោង
Error loading projects,កំហុសក្នុងការផ្ទុកគម្រោងនានា
Error loading settings,កំហុសក្នុងការផ្ទុកការកំណត់
Error loading tasks,កំហុសក្នុងការផ្ទុកភារកិច្ច
Error loading templates,កំហុសក្នុងការផ្ទុកគំរូ
Est. Hours,ម៉ោងប៉ាន់ស្មាន
Estimated,បានប៉ាន់ស្មាន
Estimated Cost,ថ្លៃដើមប៉ាន់ស្មាន
Estimated Cost (€),ថ្លៃដើមប៉ាន់ស្មាន (€)
Estimated Hours,ម៉ោងប៉ាន់ស្មាន
Estimated:,ប៉ាន់ស្មាន:
Evaluate potential risks and concerns,វាយតម្លៃហានិភ័យ និងការព្រួយបារម្ភដែលអាចកើតមាន
Event,ព្រឹត្តិការណ៍
Event is required for event context,ព្រឹត្តិការណ៍គឺចាំបាច់សម្រាប់បរិបទព្រឹត្តិការណ៍
Event is required when tracking context is 'event',ព្រឹត្តិការណ៍គឺចាំបាច់នៅពេលបរិបទតាមដានគឺ 'event'
Event Type,ប្រភេទព្រឹត្តិការណ៍
Events,ព្រឹត្តិការណ៍នានា
Events not available. Please run: bench --site orga.localhost migrate,ព្រឹត្តិការណ៍មិនមានទេ។ សូមដំណើរការ: bench --site orga.localhost migrate
Events:,ព្រឹត្តិការណ៍:
Expert,អ្នកជំនាញ
Explain why you are proposing a different time...,ពន្យល់ពីមូលហេតុដែលអ្នកស្នើពេលវេលាផ្សេង...
Export,នាំចេញ
Export failed,ការនាំចេញបានបរាជ័យ
Export JSON,នាំចេញ JSON
Exported,បាននាំចេញ
Exported to timesheet {0},បាននាំចេញទៅតារាងពេលវេលា {0}
External,ខាងក្រៅ
Failed to add item,បរាជ័យក្នុងការបន្ថែមធាតុ
Failed to add note,បរាជ័យក្នុងការបន្ថែមកំណត់ចំណាំ
Failed to add skill,បរាជ័យក្នុងការបន្ថែមជំនាញ
Failed to apply cascade changes: {0},បរាជ័យក្នុងការអនុវត្តការផ្លាស់ប្ដូរបន្តបន្ទាប់: {0}
Failed to create defect,បរាជ័យក្នុងការបង្កើតកំហុស
Failed to create dependency,បរាជ័យក្នុងការបង្កើតភាពអាស្រ័យ
Failed to create event,បរាជ័យក្នុងការបង្កើតព្រឹត្តិការណ៍
Failed to create milestone,បរាជ័យក្នុងការបង្កើតព្រឹត្តិការណ៍សំខាន់
Failed to create project,បរាជ័យក្នុងការបង្កើតគម្រោង
Failed to create task,បរាជ័យក្នុងការបង្កើតភារកិច្ច
Failed to create time log,បរាជ័យក្នុងការបង្កើតកំណត់ហេតុពេលវេលា
Failed to delete,បរាជ័យក្នុងការលុប
Failed to delete comment,បរាជ័យក្នុងការលុបមតិយោបល់
Failed to delete contact,បរាជ័យក្នុងការលុបទំនាក់ទំនង
Failed to load,បរាជ័យក្នុងការផ្ទុក
Failed to load activity,បរាជ័យក្នុងការផ្ទុកសកម្មភាព
Failed to load assignments,បរាជ័យក្នុងការផ្ទុកការចាត់តាំង
Failed to load contact,បរាជ័យក្នុងការផ្ទុកទំនាក់ទំនង
Failed to load dashboard data,បរាជ័យក្នុងការផ្ទុកទិន្នន័យផ្ទាំងគ្រប់គ្រង
Failed to load defects,បរាជ័យក្នុងការផ្ទុកកំហុស
Failed to load events,បរាជ័យក្នុងការផ្ទុកព្រឹត្តិការណ៍
Failed to load project,បរាជ័យក្នុងការផ្ទុកគម្រោង
Failed to load projects,បរាជ័យក្នុងការផ្ទុកគម្រោងនានា
Failed to load report data,បរាជ័យក្នុងការផ្ទុកទិន្នន័យរបាយការណ៍
Failed to load settings,បរាជ័យក្នុងការផ្ទុកការកំណត់
Failed to load tasks,បរាជ័យក្នុងការផ្ទុកភារកិច្ច
Failed to move task,បរាជ័យក្នុងការផ្លាស់ទីភារកិច្ច
Failed to post comment,បរាជ័យក្នុងការបង្ហោះមតិយោបល់
Failed to propose new time,បរាជ័យក្នុងការស្នើពេលវេលាថ្មី
Failed to remove item,បរាជ័យក្នុងការដកធាតុ
Failed to remove skill,បរាជ័យក្នុងការដកជំនាញ
Failed to reorder milestones: {0},បរាជ័យក្នុងការរៀបចំព្រឹត្តិការណ៍សំខាន់ឡើងវិញ: {0}
Failed to reorder tasks: {0},បរាជ័យក្នុងការរៀបចំភារកិច្ចឡើងវិញ: {0}
Failed to reschedule dependent tasks: {0},បរាជ័យក្នុងការកំណត់កាលវិភាគភារកិច្ចអាស្រ័យឡើងវិញ: {0}
Failed to save,បរាជ័យក្នុងការរក្សាទុក
Failed to save preferences,បរាជ័យក្នុងការរក្សាទុកចំណូលចិត្ត
Failed to save settings,បរាជ័យក្នុងការរក្សាទុកការកំណត់
Failed to submit request. Please try again.,បរាជ័យក្នុងការដាក់ស្នើសំណើ។ សូមព្យាយាមម្ដងទៀត។
Failed to update item,បរាជ័យក្នុងការធ្វើបច្ចុប្បន្នភាពធាតុ
Failed to update priority,បរាជ័យក្នុងការធ្វើបច្ចុប្បន្នភាពអាទិភាព
Failed to update task,បរាជ័យក្នុងការធ្វើបច្ចុប្បន្នភាពភារកិច្ច
Failed to update tasks: {0},បរាជ័យក្នុងការធ្វើបច្ចុប្បន្នភាពភារកិច្ច: {0}
Failed to upload avatar,បរាជ័យក្នុងការផ្ទុកឡើងរូបតំណាង
Feature,មុខងារ
Features,មុខងារនានា
FF (Finish-Finish),FF (បញ្ចប់-បញ្ចប់)
FF - Finish-to-Finish,FF - បញ្ចប់ទៅបញ្ចប់
Field has been updated,វាលត្រូវបានធ្វើបច្ចុប្បន្នភាព
Field name is required for 'Set Field Value' action,ឈ្មោះវាលគឺចាំបាច់សម្រាប់សកម្មភាព 'កំណត់តម្លៃវាល'
Field {0} is not a Link field,វាល {0} មិនមែនជាវាលតំណទេ
Field {0} not found in {1},រកមិនឃើញវាល {0} ក្នុង {1}
file,ឯកសារ
File,ឯកសារ
File does not belong to this task,ឯកសារមិនមែនជារបស់ភារកិច្ចនេះទេ
File name is required,ឈ្មោះឯកសារគឺចាំបាច់
File uploaded,ឯកសារត្រូវបានផ្ទុកឡើង
File {0} not found,រកមិនឃើញឯកសារ {0}
files,ឯកសារ
Files,ឯកសារនានា
Filter,តម្រង
Final Decision,សេចក្ដីសម្រេចចុងក្រោយ
Finance,ហិរញ្ញវត្ថុ
Financial,ហិរញ្ញវត្ថុ
Finish-to-Finish,បញ្ចប់ទៅបញ្ចប់
Finish-to-Start,បញ្ចប់ទៅចាប់ផ្ដើម
Flag,ទង់សម្គាល់
Flag for attention,សម្គាល់ដើម្បីយកចិត្តទុកដាក់
Flagged,បានសម្គាល់
Focus Panel,ផ្ទាំងផ្ដោត
Follows your system preference. Currently:,ធ្វើតាមចំណូលចិត្តប្រព័ន្ធរបស់អ្នក។ បច្ចុប្បន្ន:
Frappe Project {0} not found,រកមិនឃើញគម្រោង Frappe {0}
Frappe Projects Migration,ការផ្លាស់ប្ដូរគម្រោង Frappe
Frappe Projects module not available,ម៉ូឌុលគម្រោង Frappe មិនមានទេ
Frappe Projects module not installed,ម៉ូឌុលគម្រោង Frappe មិនត្រូវបានដំឡើងទេ
Frappe Projects sync is not enabled,ការធ្វើសមកាលកម្មគម្រោង Frappe មិនត្រូវបានបើកទេ
Frappe Task DocType not found,រកមិនឃើញ DocType ភារកិច្ច Frappe
Frappe Task has no project,ភារកិច្ច Frappe មិនមានគម្រោងទេ
Frappe Task {0} not found,រកមិនឃើញភារកិច្ច Frappe {0}
Fri,សុក្រ
From,ពី
From Template,ពីគំរូ
FS (Finish-Start),FS (បញ្ចប់-ចាប់ផ្ដើម)
FS - Finish-to-Start (default),FS - បញ្ចប់ទៅចាប់ផ្ដើម (លំនាំដើម)
Full form view with audit trail,ទិដ្ឋភាពទម្រង់ពេញជាមួយផ្លូវសវនកម្ម
Full name,ឈ្មោះពេញ
Gantt,Gantt
Gantt Chart,តារាង Gantt
Gantt View,ទិដ្ឋភាព Gantt
General Note,កំណត់ចំណាំទូទៅ
Get started,ចាប់ផ្ដើម
Go back,ត្រឡប់ក្រោយ
Go Back,Go Back
Group by,ដាក់ជាក្រុមតាម
Group dependency removed,ភាពអាស្រ័យក្រុមត្រូវបានដកចេញ
Group dependency set,ភាពអាស្រ័យក្រុមត្រូវបានកំណត់
Group removed,ក្រុមត្រូវបានដកចេញ
Group updated,ក្រុមត្រូវបានធ្វើបច្ចុប្បន្នភាព
Hammock task dates are auto-calculated and cannot be changed manually,កាលបរិច្ឆេទភារកិច្ចព្យួរត្រូវបានគណនាស្វ័យប្រវត្តិ និងមិនអាចផ្លាស់ប្ដូរដោយដៃបានទេ
Have a question or need assistance? Fill out the form below and our team will get back to you.,មានសំណួរ ឬត្រូវការជំនួយ? បំពេញទម្រង់ខាងក្រោម ហើយក្រុមរបស់យើងនឹងឆ្លើយតបទៅអ្នក។
Health,សុខភាព
Healthy,សុខភាពល្អ
Hello {0},សួស្ដី {0}
Here's what's happening with your projects today.,នេះគឺអ្វីដែលកំពុងកើតឡើងជាមួយគម្រោងរបស់អ្នកថ្ងៃនេះ។
Hide,លាក់
High,ខ្ពស់
History,ប្រវត្តិ
Home,ទំព័រដើម
Hourly Cost,ថ្លៃដើមប្រចាំម៉ោង
Hours,ម៉ោង
hours,ម៉ោង
Hours Logged,ម៉ោងដែលបានកត់ត្រា
ID,លេខសម្គាល់
Image must be smaller than 5 MB,រូបភាពត្រូវតែមានទំហំតិចជាង ៥ MB
Import,នាំចូល
Import existing projects and tasks from Frappe Projects module,នាំចូលគម្រោង និងភារកិច្ចដែលមានស្រាប់ពីម៉ូឌុលគម្រោង Frappe
Import failed,ការនាំចូលបានបរាជ័យ
Import Template,នាំចូលគំរូ
Imported,បាននាំចូល
in,ក្នុង
In Progress,កំពុងដំណើរការ
In Review,កំពុងពិនិត្យ
In-app notifications,ការជូនដំណឹងក្នុងកម្មវិធី
Inactive,អសកម្ម
Initial Review,ការពិនិត្យដំបូង
Installed Version,Installed Version
Insufficient permissions to view all tasks,សិទ្ធិមិនគ្រប់គ្រាន់ដើម្បីមើលភារកិច្ចទាំងអស់
Intermediate,កម្រិតមធ្យម
Internal,ខាងក្នុង
Invalid DocType,DocType មិនត្រឹមត្រូវ
Invalid DocType for import,DocType មិនត្រឹមត្រូវសម្រាប់នាំចូល
Invalid item type: {0},ប្រភេទធាតុមិនត្រឹមត្រូវ: {0}
Invalid JSON data,ទិន្នន័យ JSON មិនត្រឹមត្រូវ
Invalid note type. Must be one of: {0},ប្រភេទកំណត់ចំណាំមិនត្រឹមត្រូវ។ ត្រូវតែជាមួយក្នុងចំណោម: {0}
Invalid project reference,ឯកសារយោងគម្រោងមិនត្រឹមត្រូវ
Invalid reaction type. Must be one of: {0},ប្រភេទប្រតិកម្មមិនត្រឹមត្រូវ។ ត្រូវតែជាមួយក្នុងចំណោម: {0}
Invalid RSVP status,ស្ថានភាព RSVP មិនត្រឹមត្រូវ
Invalid status. Must be one of: {0},ស្ថានភាពមិនត្រឹមត្រូវ។ ត្រូវតែជាមួយក្នុងចំណោម: {0}
Invalid status: {0},ស្ថានភាពមិនត្រឹមត្រូវ: {0}
Invalid status: {0}. Must be one of: {1},ស្ថានភាពមិនត្រឹមត្រូវ: {0}។ ត្រូវតែជាមួយក្នុងចំណោម: {1}
Invalid tracking context: {0},បរិបទតាមដានមិនត្រឹមត្រូវ: {0}
Invalid visibility. Must be one of: {0},ភាពមើលឃើញមិនត្រឹមត្រូវ។ ត្រូវតែជាមួយក្នុងចំណោម: {0}
Invitation: {0} - {1} at {2},ការអញ្ជើញ: {0} - {1} នៅ {2}
Invite People,អញ្ជើញមនុស្ស
"It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe.","It's not you, it's the link. The page you're looking for might have been moved, renamed, or is taking a well-deserved coffee break. Your projects and data are perfectly safe."
Item added,ធាតុត្រូវបានបន្ថែម
Item ID is required,លេខសម្គាល់ធាតុគឺចាំបាច់
Item removed,ធាតុត្រូវបានដកចេញ
Item type is required,ប្រភេទធាតុគឺចាំបាច់
Item {0} not found,រកមិនឃើញធាតុ {0}
Job title or role,មុខតំណែង ឬតួនាទី
Join Meeting,ចូលរួមកិច្ចប្រជុំ
Just now,ទើបតែឥឡូវ
just now,ទើបតែឥឡូវ
Kanban,Kanban
Kanban Board,ក្ដារ Kanban
Kanban View,ទិដ្ឋភាព Kanban
Keyboard Shortcuts,ផ្លូវកាត់ក្ដារចុច
Keyboard shortcuts (?),ផ្លូវកាត់ក្ដារចុច (?)
Last checked: {0},Last checked: {0}
Last Updated,បានធ្វើបច្ចុប្បន្នភាពចុងក្រោយ
Last updated:,បានធ្វើបច្ចុប្បន្នភាពចុងក្រោយ:
Last Week,សប្ដាហ៍មុន
Latest Version,Latest Version
Light,ភ្លឺ
Link failed,ការភ្ជាប់បានបរាជ័យ
Link Task,ភ្ជាប់ភារកិច្ច
Linked,បានភ្ជាប់
Linked employee not found,រកមិនឃើញបុគ្គលិកដែលបានភ្ជាប់
Linked Tasks,ភារកិច្ចដែលបានភ្ជាប់
List,បញ្ជី
List View,ទិដ្ឋភាពបញ្ជី
Load failed,ការផ្ទុកបានបរាជ័យ
Load More,ផ្ទុកបន្ថែម
Load more comments,ផ្ទុកមតិយោបល់បន្ថែម
Loading activity...,កំពុងផ្ទុកសកម្មភាព...
Loading changes...,កំពុងផ្ទុកការផ្លាស់ប្ដូរ...
Loading checklist...,កំពុងផ្ទុកបញ្ជីត្រួតពិនិត្យ...
Loading comments...,កំពុងផ្ទុកមតិយោបល់...
Loading contact...,កំពុងផ្ទុកទំនាក់ទំនង...
Loading contacts...,កំពុងផ្ទុកទំនាក់ទំនង...
Loading dependencies...,កំពុងផ្ទុកភាពអាស្រ័យ...
Loading details...,កំពុងផ្ទុកព័ត៌មានលម្អិត...
Loading discussion...,កំពុងផ្ទុកការពិភាក្សា...
Loading events...,កំពុងផ្ទុកព្រឹត្តិការណ៍...
Loading files...,កំពុងផ្ទុកឯកសារ...
Loading notes...,កំពុងផ្ទុកកំណត់ចំណាំ...
Loading preferences...,កំពុងផ្ទុកចំណូលចិត្ត...
Loading project...,កំពុងផ្ទុកគម្រោង...
Loading projects...,កំពុងផ្ទុកគម្រោងនានា...
Loading replies...,កំពុងផ្ទុកការឆ្លើយតប...
Loading report data...,កំពុងផ្ទុកទិន្នន័យរបាយការណ៍...
Loading settings...,កំពុងផ្ទុកការកំណត់...
Loading task...,កំពុងផ្ទុកភារកិច្ច...
Loading templates...,កំពុងផ្ទុកគំរូ...
Loading time logs...,កំពុងផ្ទុកកំណត់ហេតុពេលវេលា...
Loading your portal...,កំពុងផ្ទុកវិបផតថលរបស់អ្នក...
Loading...,កំពុងផ្ទុក...
Location,ទីតាំង
Log Time,កត់ត្រាពេលវេលា
Logout,ចាកចេញ
Low,ទាប
Make Offer,ធ្វើការផ្ដល់ជូន
Manager,អ្នកគ្រប់គ្រង
Manual Entry,បញ្ចូលដោយដៃ
Margin,រឹម
Mark all as read,សម្គាល់ទាំងអស់ថាបានអាន
Mark all read,សម្គាល់ទាំងអស់ថាបានអាន
Mark as read,សម្គាល់ថាបានអាន
Mark as unread,សម្គាល់ថាមិនទាន់អាន
Mark read,សម្គាល់ថាបានអាន
Marking...,កំពុងសម្គាល់...
Material,សម្ភារៈ
Maybe,ប្រហែលជា
Medium,មធ្យម
Meeting,កិច្ចប្រជុំ
Meeting Link,តំណកិច្ចប្រជុំ
Meeting title,ចំណងជើងកិច្ចប្រជុំ
Meeting URL,URL កិច្ចប្រជុំ
Meetings,កិច្ចប្រជុំនានា
Mention,ការលើកឡើង
Message,សារ
Message is required,សារគឺចាំបាច់
Message is required for '{0}' action,សារគឺចាំបាច់សម្រាប់សកម្មភាព '{0}'
Migrate,ផ្លាស់ប្ដូរ
Migration Complete,ការផ្លាស់ប្ដូរបានបញ្ចប់
Migration ID:,លេខសម្គាល់ការផ្លាស់ប្ដូរ:
Migration log not found: {0},រកមិនឃើញកំណត់ហេតុការផ្លាស់ប្ដូរ: {0}
milestone,ព្រឹត្តិការណ៍សំខាន់
Milestone,ព្រឹត្តិការណ៍សំខាន់
Milestone created,ព្រឹត្តិការណ៍សំខាន់ត្រូវបានបង្កើត
Milestone description has been saved.,ការពិពណ៌នាព្រឹត្តិការណ៍សំខាន់ត្រូវបានរក្សាទុក។
Milestone ID is required,លេខសម្គាល់ព្រឹត្តិការណ៍សំខាន់គឺចាំបាច់
Milestone marked as Missed (past due date),ព្រឹត្តិការណ៍សំខាន់ត្រូវបានសម្គាល់ថាបានខកខាន (ផុតកាលបរិច្ឆេទកំណត់)
Milestone moved,ព្រឹត្តិការណ៍សំខាន់ត្រូវបានផ្លាស់ទី
Milestone Name,ឈ្មោះព្រឹត្តិការណ៍សំខាន់
Milestone name has been saved.,ឈ្មោះព្រឹត្តិការណ៍សំខាន់ត្រូវបានរក្សាទុក។
Milestone name is required,ឈ្មោះព្រឹត្តិការណ៍សំខាន់គឺចាំបាច់
Milestone updated,ព្រឹត្តិការណ៍សំខាន់ត្រូវបានធ្វើបច្ចុប្បន្នភាព
Milestone {0} not found,រកមិនឃើញព្រឹត្តិការណ៍សំខាន់ {0}
Milestone {0} not in project {1},ព្រឹត្តិការណ៍សំខាន់ {0} មិនស្ថិតក្នុងគម្រោង {1}
milestones,ព្រឹត្តិការណ៍សំខាន់
Milestones,ព្រឹត្តិការណ៍សំខាន់នានា
Milestones:,ព្រឹត្តិការណ៍សំខាន់:
Minutes,នាទី
Missed,បានខកខាន
Mixed,ចម្រុះ
Mobile,ទូរសព្ទ
Moderate,មធ្យម
Modified,បានកែប្រែ
"Modify details, time, or attendees",កែប្រែព័ត៌មានលម្អិត ពេលវេលា ឬអ្នកចូលរួម
Mon,ចន្ទ
Month,ខែ
Move failed,ការផ្លាស់ទីបានបរាជ័យ
Must be a positive number,ត្រូវតែជាលេខវិជ្ជមាន
Must finish before this finishes,ត្រូវបញ្ចប់មុនពេលនេះបញ្ចប់
Must finish before this starts,ត្រូវបញ្ចប់មុនពេលនេះចាប់ផ្ដើម
Must start before this finishes,ត្រូវចាប់ផ្ដើមមុនពេលនេះបញ្ចប់
Must start before this starts,ត្រូវចាប់ផ្ដើមមុនពេលនេះចាប់ផ្ដើម
My Assignments,ការចាត់តាំងរបស់ខ្ញុំ
My Projects,គម្រោងរបស់ខ្ញុំ
My Schedule,កាលវិភាគរបស់ខ្ញុំ
My Tasks,ភារកិច្ចរបស់ខ្ញុំ
N/A,មិនអនុវត្ត
Name,ឈ្មោះ
Name (A-Z),ឈ្មោះ (A-Z)
Name (Z-A),ឈ្មោះ (Z-A)
Name cannot exceed 255 characters,ឈ្មោះមិនអាចលើស ២៥៥ តួអក្សរបានទេ
Need help?,ត្រូវការជំនួយ?
Needs Attention,ត្រូវការការយកចិត្តទុកដាក់
Never,Never
new activities,សកម្មភាពថ្មី
New Activity,សកម្មភាពថ្មី
New activity,សកម្មភាពថ្មី
New Event,ព្រឹត្តិការណ៍ថ្មី
New index is required,សន្ទស្សន៍ថ្មីគឺចាំបាច់
New Project,គម្រោងថ្មី
New tasks will auto-trail by default.,ភារកិច្ចថ្មីនឹងតាមដានស្វ័យប្រវត្តិតាមលំនាំដើម។
Newest First,ថ្មីបំផុតមុន
Next,បន្ទាប់
Next 14 days,១៤ ថ្ងៃបន្ទាប់
Next 30 days,៣០ ថ្ងៃបន្ទាប់
Next 60 days,៦០ ថ្ងៃបន្ទាប់
Next 7 days,៧ ថ្ងៃបន្ទាប់
Next 90 days,៩០ ថ្ងៃបន្ទាប់
Next Week,សប្ដាហ៍ក្រោយ
Next:,បន្ទាប់:
No,ទេ
No active assignments,គ្មានការចាត់តាំងសកម្មទេ
No active projects,គ្មានគម្រោងសកម្មទេ
No active timer found,រកមិនឃើញកម្មវិធីកំណត់ពេលសកម្ម
No activity selected,គ្មានសកម្មភាពត្រូវបានជ្រើសរើសទេ
No assignments found,រកមិនឃើញការចាត់តាំង
No attendees,គ្មានអ្នកចូលរួម
no change,គ្មានការផ្លាស់ប្ដូរ
No changes for this field.,គ្មានការផ្លាស់ប្ដូរសម្រាប់វាលនេះ។
No changes recorded for this activity.,គ្មានការផ្លាស់ប្ដូរត្រូវបានកត់ត្រាសម្រាប់សកម្មភាពនេះ។
No checklist items yet,មិនទាន់មានធាតុបញ្ជីត្រួតពិនិត្យនៅឡើយ
No checklist items yet.,មិនទាន់មានធាតុបញ្ជីត្រួតពិនិត្យនៅឡើយ។
No comments yet,មិនទាន់មានមតិយោបល់នៅឡើយ
No comments yet.,មិនទាន់មានមតិយោបល់នៅឡើយ។
No contacts available,គ្មានទំនាក់ទំនងមានទេ
No content for this tab,គ្មានខ្លឹមសារសម្រាប់ផ្ទាំងនេះ
No data available,គ្មានទិន្នន័យមានទេ
No data available for the selected filters,គ្មានទិន្នន័យមានសម្រាប់តម្រងដែលបានជ្រើសរើស
No data to export,គ្មានទិន្នន័យដើម្បីនាំចេញ
No dates set,មិនបានកំណត់កាលបរិច្ឆេទ
No defects reported,គ្មានកំហុសត្រូវបានរាយការណ៍
No dependencies defined,គ្មានភាពអាស្រ័យត្រូវបានកំណត់
No description,គ្មានការពិពណ៌នា
No discussion yet.,មិនទាន់មានការពិភាក្សានៅឡើយ។
No documents attached,គ្មានឯកសារភ្ជាប់
No due date,គ្មានកាលបរិច្ឆេទផុតកំណត់
No employee linked to this resource,គ្មានបុគ្គលិកភ្ជាប់ទៅធនធាននេះ
No ERPNext employee linked to resource,គ្មានបុគ្គលិក ERPNext ភ្ជាប់ទៅធនធាន
No events found,រកមិនឃើញព្រឹត្តិការណ៍
No files attached yet.,មិនទាន់មានឯកសារភ្ជាប់នៅឡើយ។
No Frappe Project linked,គ្មានគម្រោង Frappe បានភ្ជាប់
No Grouping,គ្មានការដាក់ជាក្រុម
No items,គ្មានធាតុ
No matching tasks,គ្មានភារកិច្ចដែលត្រូវគ្នា
No matching tasks found,រកមិនឃើញភារកិច្ចដែលត្រូវគ្នា
No migration history,គ្មានប្រវត្តិការផ្លាស់ប្ដូរ
